#ID,FFM,BIC,#FFM,#BIC,FoundSZZ,FoundSZZ-1,Earliest,Latest,NumPC,SZZFP,SZZFN,SZZTP,ALOBIC,SZZ-1FP,SZZ-1FN,SZZ-1TP,ALOBIC,SZZ-1EFP,SZZ-1EFN,SZZ-1ETP,SZZ-1EFP,SZZ-1EFN,SZZ-1ETP
Precision SZZ,0.316455696202532,,,0,,,,,,FP,FN,TP,,FP,FN,TP,,FP,FN,TP,FP,FN,TP
Recall SZZ,0.735294117647059,,,,,,,,,,,,,,,,,,,,,,
F-Score SZZ,0.442477876106195,,,,,,,Precision SZZ,0.316455696202532,,,,,Precision SZZ,0.354430379746835,,,Precision SZZ,0.641025641025641,,Precision SZZ,0.487179487179487,
,,,,,,,,Recall SZZ,0.735294117647059,,,,,Recall SZZ,0.8,,,Recall SZZ,0.735294117647059,,Recall SZZ,0.558823529411765,
,,,,,,,,F-Score SZZ,0.442477876106195,,,,,F-Score SZZ,0.491228070175438,,,F-Score SZZ,0.684931506849315,,F-Score SZZ,0.520547945205479,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Precision SZZ,0.675675675675676,,,,,Precision SZZ,0.717948717948718,,,,,,,,
,,,,,,,,Recall SZZ,0.735294117647059,,,,,Recall SZZ,0.8,,,,,,,,
,,,,,,,,F-Score SZZ,0.704225352112676,,,,,F-Score SZZ,0.756756756756757,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Precision SZZ,0.459459459459459,,,,,Precision SZZ,0.487179487179487,,,,,,,,
,,,,,,,,Recall SZZ,0.653846153846154,,,,,Recall SZZ,0.730769230769231,,,,,,,,
,,,,,,,,F-Score SZZ,0.539682539682539,,,,,F-Score SZZ,0.584615384615385,,,,,,,,
